deliveryDate,hourEnding,repeatedHourFlag,settlementPointName,settlementPointPrice
2025-05-31,2,N,LZ_NORTH,29.67
2025-05-31,2,N,LZ_LCRA,31.34
2025-05-31,2,N,LZ_HOUSTON,30.61
2025-05-31,2,N,LZ_CPS,31.76
2025-05-31,2,N,LZ_AEN,31.07
2025-05-31,2,N,HB_WEST,35.97
2025-05-31,2,N,HB_SOUTH,31.4
2025-05-31,2,N,HB_PAN,24.59
2025-05-31,2,N,HB_NORTH,29.66
2025-05-31,2,N,HB_HUBAVG,31.9
2025-05-31,2,N,HB_HOUSTON,30.57
2025-05-31,2,N,HB_BUSAVG,30.96
2025-05-31,1,N,LZ_WEST,55.32
2025-05-31,1,N,LZ_SOUTH,35.48
2025-05-31,1,N,LZ_RAYBN,32.4
2025-05-31,1,N,LZ_NORTH,32.61
2025-05-31,1,N,LZ_LCRA,35.04
2025-05-31,1,N,LZ_HOUSTON,33.97
2025-05-31,1,N,LZ_CPS,35.58
2025-05-31,1,N,LZ_AEN,34.71
2025-05-31,1,N,HB_WEST,40.89
2025-05-31,1,N,HB_SOUTH,35.1
2025-05-31,1,N,HB_PAN,25.19
2025-05-31,1,N,HB_NORTH,32.6
2025-05-31,1,N,HB_HUBAVG,35.63
2025-05-31,1,N,HB_HOUSTON,33.91
2025-05-31,1,N,HB_BUSAVG,34.37
2025-05-30,24,N,LZ_WEST,70.29
2025-05-30,24,N,LZ_SOUTH,43.37
2025-05-30,24,N,LZ_RAYBN,39.8
2025-05-30,24,N,LZ_NORTH,39.98
2025-05-30,24,N,LZ_LCRA,42.89
2025-05-30,24,N,LZ_HOUSTON,41.52
2025-05-30,24,N,LZ_CPS,43.84
2025-05-30,24,N,LZ_AEN,42.43
2025-05-30,24,N,HB_WEST,50.35
2025-05-30,24,N,HB_SOUTH,42.87
2025-05-30,24,N,HB_PAN,34.42
2025-05-30,24,N,HB_NORTH,39.93
2025-05-30,24,N,HB_HUBAVG,43.64
2025-05-30,24,N,HB_HOUSTON,41.42
2025-05-30,24,N,HB_BUSAVG,42.11
2025-05-30,23,N,LZ_WEST,81.0
2025-05-30,23,N,LZ_SOUTH,57.43
2025-05-30,23,N,LZ_RAYBN,53.23
2025-05-30,23,N,LZ_NORTH,53.5
2025-05-30,23,N,LZ_LCRA,57.18
2025-05-30,23,N,LZ_HOUSTON,55.5
2025-05-30,23,N,LZ_CPS,58.08
2025-05-30,23,N,LZ_AEN,56.72
2025-05-30,23,N,HB_WEST,63.92
2025-05-30,23,N,HB_SOUTH,57.22
2025-05-30,23,N,HB_PAN,43.75
2025-05-30,23,N,HB_NORTH,53.52
2025-05-30,23,N,HB_HUBAVG,57.52
2025-05-30,23,N,HB_HOUSTON,55.41
2025-05-30,23,N,HB_BUSAVG,55.9
2025-05-30,22,N,LZ_WEST,90.15
2025-05-30,22,N,LZ_SOUTH,73.79
2025-05-30,22,N,LZ_RAYBN,73.09
2025-05-30,22,N,LZ_NORTH,73.27
2025-05-30,22,N,LZ_LCRA,75.3
2025-05-30,22,N,LZ_HOUSTON,73.93
2025-05-30,22,N,LZ_CPS,76.51
2025-05-30,22,N,LZ_AEN,75.0
2025-05-30,22,N,HB_WEST,79.95
2025-05-30,22,N,HB_SOUTH,74.38
2025-05-30,22,N,HB_PAN,66.9
2025-05-30,22,N,HB_NORTH,73.27
2025-05-30,22,N,HB_HUBAVG,75.38
2025-05-30,22,N,HB_HOUSTON,73.93
2025-05-30,22,N,HB_BUSAVG,74.43
2025-05-30,21,N,LZ_WEST,104.35
2025-05-30,21,N,LZ_SOUTH,86.92
2025-05-30,21,N,LZ_RAYBN,87.78
2025-05-30,21,N,LZ_NORTH,87.94
2025-05-30,21,N,LZ_LCRA,90.75
2025-05-30,21,N,LZ_HOUSTON,88.39
2025-05-30,21,N,LZ_CPS,92.69
2025-05-30,21,N,LZ_AEN,90.23
2025-05-30,21,N,HB_WEST,94.81
2025-05-30,21,N,HB_SOUTH,88.56
2025-05-30,21,N,HB_PAN,84.86
2025-05-30,21,N,HB_NORTH,87.92
2025-05-30,21,N,HB_HUBAVG,89.9
2025-05-30,21,N,HB_HOUSTON,88.33
2025-05-30,21,N,HB_BUSAVG,89.0
2025-05-30,20,N,LZ_WEST,100.59
2025-05-30,20,N,LZ_SOUTH,89.61
2025-05-30,20,N,LZ_RAYBN,90.79
2025-05-30,20,N,LZ_NORTH,90.89
2025-05-30,20,N,LZ_LCRA,92.52
2025-05-30,20,N,LZ_HOUSTON,90.46
2025-05-30,20,N,LZ_CPS,94.17
2025-05-30,20,N,LZ_AEN,91.8
2025-05-30,20,N,HB_WEST,94.26
2025-05-30,20,N,HB_SOUTH,90.0
2025-05-30,20,N,HB_PAN,88.91
2025-05-30,20,N,HB_NORTH,90.87
2025-05-30,20,N,HB_HUBAVG,91.4
2025-05-30,20,N,HB_HOUSTON,90.48
2025-05-30,20,N,HB_BUSAVG,91.03
2025-05-30,19,N,LZ_WEST,74.01
2025-05-30,19,N,LZ_SOUTH,71.27
2025-05-30,19,N,LZ_RAYBN,67.11
2025-05-30,19,N,LZ_NORTH,67.12
2025-05-30,19,N,LZ_LCRA,74.76
2025-05-30,19,N,LZ_HOUSTON,68.71
2025-05-30,19,N,LZ_CPS,74.98
2025-05-30,19,N,LZ_AEN,75.32
2025-05-30,19,N,HB_WEST,69.92
2025-05-30,19,N,HB_SOUTH,70.41
2025-05-30,19,N,HB_PAN,66.07
2025-05-30,19,N,HB_NORTH,67.09
2025-05-30,19,N,HB_HUBAVG,68.95
2025-05-30,19,N,HB_HOUSTON,68.39
2025-05-30,19,N,HB_BUSAVG,68.34
2025-05-30,18,N,LZ_WEST,58.08
2025-05-30,18,N,LZ_SOUTH,62.55
2025-05-30,18,N,LZ_RAYBN,52.28
2025-05-30,18,N,LZ_NORTH,52.21
2025-05-30,18,N,LZ_LCRA,63.66
2025-05-30,18,N,LZ_HOUSTON,56.35
2025-05-30,18,N,LZ_CPS,61.04
2025-05-30,18,N,LZ_AEN,65.11
2025-05-30,18,N,HB_WEST,54.92
2025-05-30,18,N,HB_SOUTH,59.33
2025-05-30,18,N,HB_PAN,50.9
2025-05-30,18,N,HB_NORTH,52.2
2025-05-30,18,N,HB_HUBAVG,55.46
2025-05-30,18,N,HB_HOUSTON,55.41
2025-05-30,18,N,HB_BUSAVG,54.56
2025-05-30,17,N,LZ_WEST,45.07
2025-05-30,17,N,LZ_SOUTH,55.61
2025-05-30,17,N,LZ_RAYBN,40.24
2025-05-30,17,N,LZ_NORTH,40.01
2025-05-30,17,N,LZ_LCRA,59.38
2025-05-30,17,N,LZ_HOUSTON,47.85
2025-05-30,17,N,LZ_CPS,55.15
2025-05-30,17,N,LZ_AEN,62.1
2025-05-30,17,N,HB_WEST,42.6
2025-05-30,17,N,HB_SOUTH,52.68
2025-05-30,17,N,HB_PAN,40.19
